iter	Passed	Remaining
0	28	27981
1	55	27607
2	82	27529
3	109	27157
4	133	26577
5	160	26569
6	186	26386
7	212	26356
8	238	26307
9	266	26345
10	294	26462
11	321	26445
12	349	26541
13	374	26398
14	401	26387
15	426	26251
16	452	26172
17	480	26221
18	506	26164
19	533	26153
20	562	26215
21	588	26170
22	615	26134
23	641	26103
24	668	26076
25	696	26108
26	723	26064
27	746	25899
28	772	25874
29	798	25812
30	825	25795
31	850	25742
32	875	25660
33	901	25613
34	928	25597
35	955	25577
36	980	25512
37	1008	25523
38	1032	25441
39	1061	25478
40	1088	25462
41	1113	25402
42	1139	25363
43	1165	25318
44	1191	25287
45	1217	25240
46	1241	25177
47	1267	25145
48	1294	25131
49	1321	25102
50	1348	25094
51	1374	25066
52	1401	25040
53	1427	25013
54	1453	24977
55	1479	24948
56	1506	24926
57	1532	24881
58	1559	24864
59	1586	24848
60	1612	24817
61	1639	24805
62	1666	24792
63	1692	24758
64	1717	24709
65	1743	24669
66	1768	24628
67	1795	24609
68	1821	24578
69	1847	24540
70	1874	24533
71	1900	24494
72	1925	24449
73	1950	24405
74	1975	24364
75	2001	24331
76	2029	24324
77	2054	24289
78	2082	24272
79	2109	24253
80	2136	24239
81	2161	24203
82	2185	24151
83	2211	24115
84	2237	24086
85	2264	24062
86	2292	24053
87	2318	24029
88	2353	24087
89	2388	24148
90	2426	24235
91	2456	24245
92	2484	24234
93	2512	24215
94	2538	24185
95	2566	24164
96	2596	24167
97	2628	24190
98	2653	24148
99	2680	24123
100	2705	24083
101	2737	24101
102	2763	24065
103	2789	24035
104	2815	23999
105	2840	23959
106	2869	23946
107	2894	23903
108	2921	23878
109	2947	23850
110	2971	23798
111	2996	23761
112	3019	23703
113	3047	23683
114	3072	23645
115	3098	23610
116	3124	23583
117	3151	23558
118	3178	23530
119	3203	23492
120	3230	23470
121	3255	23431
122	3281	23399
123	3308	23372
124	3334	23341
125	3363	23331
126	3388	23291
127	3414	23263
128	3440	23231
129	3464	23188
130	3489	23148
131	3513	23100
132	3540	23077
133	3567	23056
134	3595	23040
135	3620	22998
136	3647	22977
137	3674	22951
138	3701	22928
139	3727	22899
140	3755	22879
141	3780	22845
142	3805	22803
143	3832	22780
144	3858	22752
145	3884	22720
146	3909	22683
147	3935	22658
148	3960	22620
149	3988	22601
150	4014	22568
151	4038	22529
152	4067	22514
153	4093	22486
154	4120	22464
155	4148	22446
156	4176	22427
157	4202	22395
158	4226	22354
159	4253	22329
160	4277	22291
161	4304	22264
162	4329	22229
163	4357	22210
164	4382	22178
165	4408	22147
166	4434	22120
167	4461	22095
168	4488	22070
169	4512	22031
170	4538	22001
171	4565	21978
172	4590	21944
173	4617	21921
174	4643	21888
175	4666	21846
176	4690	21808
177	4716	21780
